device;id_30;Deviceyear;num_unique;ID;YEAR;POP1;POP;SEXE;PRODUCTION_envol;START;END;ECLO;ENVOL;PERIOD;CHICKAGE;n_all_bhv;days_available;n_foraging;ratio_foraging_all;HRker95_allhadjust;HRker95_foragingHref;Hrker_foraging_hadjust;Mean_nest_dist;prop_for_month;ODBA.mG.;daily_mean_ODBA;SPEI_har_pond
181909;181909_2020_1;181909_2020;1;1_20_1;2020;44;1;F;3;18/04/2020;14/05/2020;13/04/2020;12/06/2020;1;0;842;26,24;391;0,46;87,7380896;117,8897877;103,0045076;463,82;46,44;330,42;0,33;1,1
181909;181909_2020_2;181909_2020;1;1_20_2;2020;44;1;F;3;15/05/2020;12/06/2020;13/04/2020;12/06/2020;2;1;978;28,7;486;0,5;172,0946088;191,4854409;149,2174528;652,56;49,69;326,24;0,33;1,05
181909;181909_2021_1;181909_2021;2;2_21_1;2021;44;1;F;4;22/04/2021;22/05/2021;22/04/2021;21/06/2021;1;0;986;30,65;411;0,42;5776,599583;8133,454921;6051,80221;4356,91;41,68;320,58;0,32;-0,82
181909;181909_2021_2;181909_2021;2;2_21_2;2021;44;1;F;4;23/05/2021;21/06/2021;22/04/2021;21/06/2021;2;1;1023;29,71;645;0,63;568,8486269;1259,922132;288,9818921;1424,56;63,05;407,28;0,41;0,13
181909;181909_2022_1;181909_2022;3;3_22_1;2022;44;1;F;3;08/04/2022;08/05/2022;08/04/2022;07/06/2022;1;0;939;30,62;395;0,42;3072,383324;3947,945845;1640,136393;2212,44;42,07;301,57;0,3;-0,62
181909;181909_2022_2;181909_2022;3;3_22_2;2022;44;1;F;3;09/05/2022;07/06/2022;08/04/2022;07/06/2022;2;1;997;29,68;682;0,68;375,6104723;819,3915361;168,3417127;1281,52;68,41;430,38;0,43;-0,86
181909;181909_2023_1;181909_2023;4;4_23_1;2023;44;1;F;4;15/04/2023;15/05/2023;15/04/2023;14/06/2023;1;0;957;30,64;345;0,36;116,5547797;188,6601777;176,4781166;590,53;36,05;250,49;0,25;0,72
181909;181909_2023_2;181909_2023;4;4_23_2;2023;44;1;F;4;16/05/2023;14/06/2023;15/04/2023;14/06/2023;2;1;1010;29,68;539;0,53;216,1649189;403,4797336;249,7276115;781,57;53,37;375,65;0,38;0,04
190657;190657_2020_1;190657_2020;5;5_20_1;2020;17;2;F;3;26/04/2020;26/05/2020;26/04/2020;25/06/2020;1;0;978;30,65;416;0,43;120,668761;246,927677;204,8653907;401,66;42,54;287,73;0,29;0,95
190657;190657_2020_2;190657_2020;5;5_20_2;2020;17;2;F;3;27/05/2020;25/06/2020;26/04/2020;25/06/2020;2;1;1012;29,7;505;0,5;601,6356231;650,8400024;595,7644399;879,71;49,9;349,97;0,35;1,21
